theta_cs, phi_cs, theta_prime, phi_prime
1.58841,1.57532,2.5402,3.01136
1.58918,1.57532,2.54425,3.02317
1.58995,1.57532,2.55156,3.04567
1.59071,1.57532,2.55604,3.05947
1.59148,1.57532,2.56277,3.08086
1.59224,1.57532,2.56342,3.08217
1.59301,1.57532,2.56819,3.09737
1.59378,1.57532,2.57154,3.10805
1.59454,1.57532,2.57285,3.11171
1.59531,1.57532,2.57969,3.13471
1.59607,1.57532,2.58192,3.14181
1.59684,1.57532,2.58305,3.14499
1.59761,1.57532,2.58633,3.15592
1.59837,1.57532,2.58866,3.16351
1.59914,1.57532,2.59187,3.17438
1.59991,1.57532,2.59354,3.1797
1.60067,1.57532,2.59739,3.1931
1.60144,1.57532,2.59843,3.19623
1.6022,1.57532,2.60079,3.20427
1.60297,1.57532,2.60268,3.21067
1.60374,1.57532,2.60402,3.21497
1.6045,1.57532,2.60656,3.22384
1.60527,1.57532,2.60926,3.23342
1.60603,1.57532,2.61259,3.24571
1.6068,1.57532,2.61191,3.24219
1.60757,1.57532,2.61377,3.24868
1.60833,1.57532,2.61642,3.25836
1.6091,1.57532,2.61753,3.26197
1.60986,1.57532,2.61891,3.26674
1.61063,1.57532,2.62096,3.27417
1.6114,1.57532,2.62223,3.27851
1.61216,1.57532,2.62391,3.28457
1.61293,1.57532,2.62669,3.29503
1.61369,1.57532,2.62724,3.2966
1.61446,1.57532,2.62942,3.30486
1.61523,1.57532,2.6296,3.30481
1.61599,1.57532,2.63134,3.31131
1.61676,1.57532,2.63188,3.31275
1.61752,1.57532,2.63296,3.3165
1.61829,1.57532,2.63493,3.32406
1.61906,1.57532,2.63474,3.32247
1.61982,1.57532,2.63881,3.33911
1.62059,1.57532,2.63926,3.34023
1.62135,1.57532,2.63957,3.34076
1.62212,1.57532,2.64044,3.34369
1.62289,1.57532,2.64204,3.34983
1.62365,1.57532,2.64395,3.35744
1.62442,1.57532,2.64355,3.35484
1.62518,1.57532,2.64429,3.35729
1.62595,1.57532,2.64626,3.3652
1.62672,1.57532,2.64708,3.36803
1.62748,1.57532,2.64766,3.36981
1.62825,1.57532,2.64925,3.37615
1.62902,1.57532,2.65166,3.38617
1.62978,1.57532,2.65235,3.38848
1.63055,1.57532,2.65219,3.38697
1.63131,1.57532,2.65359,3.39253
1.63208,1.57532,2.65393,3.39327
1.63285,1.57532,2.65506,3.39767
1.63361,1.57532,2.65703,3.4059
1.63438,1.57532,2.65799,3.40953
1.63514,1.57532,2.65773,3.40756
1.63591,1.57532,2.65944,3.4147
1.63668,1.57532,2.66045,3.41858
1.63744,1.57532,2.66032,3.41718
1.63821,1.57532,2.66116,3.42031
1.63897,1.57532,2.66236,3.42516
1.63974,1.57532,2.66353,3.42989
1.64051,1.57532,2.66415,3.432
1.64127,1.57532,2.66579,3.439
