theta_cs, phi_cs, theta_prime, phi_prime
0.603862,1.83853,0.0826549,-8.78275
0.679344,1.83853,0.104102,-6.49442
0.754827,1.83853,0.131043,-4.68571
0.83031,1.83853,0.16499,-3.25337
0.905792,1.83853,0.207725,-2.12194
0.981275,1.83853,0.261354,-1.23132
1.05676,1.83853,0.328445,-0.531171
1.13224,1.83853,0.412337,0.0213797
1.20772,1.83853,0.517708,0.462591
1.28321,1.83853,0.651403,0.822711
1.35869,1.83853,0.823162,1.12669
1.43417,1.83853,1.04436,1.39488
1.50965,1.83853,1.3198,1.64335
1.58514,1.83853,1.63067,1.88413
1.66062,1.83853,1.93235,2.12665
1.7361,1.83853,2.18773,2.38099
1.81158,1.83853,2.38891,2.66065
1.88707,1.83853,2.54488,2.98333
1.96255,1.83853,2.66683,3.37105
2.03803,1.83853,2.76337,3.85069
2.11352,1.83853,2.84042,4.45471
2.189,1.83853,2.90205,5.2218
2.26448,1.83853,2.95127,6.19753
2.33996,1.83853,2.99043,7.43557
2.41545,1.83853,3.02152,9.00088
2.49093,1.83853,3.04621,10.9775
2.56641,1.83853,3.06592,13.4849
2.64189,1.83853,3.0818,16.71
2.71738,1.83853,3.09479,20.9742
2.79286,1.83853,3.10563,26.8849
2.86834,1.83853,3.11491,35.7348
2.94383,1.83853,3.12306,50.8116
3.01931,1.83853,3.13046,83.555
3.09479,1.83853,3.13741,219.289
0,1.99174,nan,nan
0.0754827,1.99174,0.00679358,-131.981
0.150965,1.99174,0.0139184,-63.2775
0.226448,1.99174,0.0216895,-39.7659
0.301931,1.99174,0.0304895,-27.5855
0.377414,1.99174,0.0408066,-19.9779
0.452896,1.99174,0.0532831,-14.7032
0.528379,1.99174,0.0687715,-10.8132
0.603862,1.99174,0.0883941,-7.8421
0.679344,1.99174,0.11359,-5.53566
0.754827,1.99174,0.146131,-3.73958
0.83031,1.99174,0.188078,-2.34838
0.905792,1.99174,0.241697,-1.28064
0.981275,1.99174,0.309357,-0.468122
1.05676,1.99174,0.393492,0.147604
1.13224,1.99174,0.496645,0.615587
1.20772,1.99174,0.621559,0.975526
1.28321,1.99174,0.771084,1.25849
1.35869,1.99174,0.947566,1.48829
1.43417,1.99174,1.15124,1.68319
1.50965,1.99174,1.37775,1.85748
1.58514,1.99174,1.61639,2.02302
1.66062,1.99174,1.85205,2.19059
1.7361,1.99174,2.0708,2.37122
1.81158,1.99174,2.26435,2.57751
1.88707,1.99174,2.4304,2.8251
1.96255,1.99174,2.57024,3.13415
2.03803,1.99174,2.68655,3.53104
2.11352,1.99174,2.78217,4.04998
2.189,1.99174,2.85975,4.73419
2.26448,1.99174,2.92179,5.6363
2.33996,1.99174,2.9707,6.81832
2.41545,1.99174,3.00882,8.3528
2.49093,1.99174,3.03834,10.3285
2.56641,1.99174,3.06123,12.8654
2.64189,1.99174,3.07913,16.1476
2.71738,1.99174,3.09335,20.4915
2.79286,1.99174,3.10492,26.4988
2.86834,1.99174,3.1146,35.4566
2.94383,1.99174,3.12295,50.6485
3.01931,1.99174,3.13044,83.5112
3.09479,1.99174,3.1374,219.366
0,2.14495,nan,nan
0.0754827,2.14495,0.00679884,-131.714
0.150965,2.14495,0.0139624,-62.8978
0.226448,2.14495,0.021849,-39.2762
0.301931,2.14495,0.0309048,-26.9915
0.377414,2.14495,0.0417177,-19.2892
0.452896,2.14495,0.0550861,-13.9351
0.528379,2.14495,0.072099,-9.98775
0.603862,2.14495,0.0942148,-6.98801
0.679344,2.14495,0.123304,-4.6857
0.754827,2.14495,0.161599,-2.92614
0.83031,2.14495,0.211526,-1.5979
0.905792,2.14495,0.275416,-0.609492
0.981275,2.14495,0.355234,0.118191
1.05676,2.14495,0.452421,0.652202
1.13224,2.14495,0.567886,1.04655
1.20772,2.14495,0.702043,1.34254
1.28321,2.14495,0.854747,1.57064
1.35869,2.14495,1.025,1.75296
1.43417,2.14495,1.21049,1.90568
1.50965,2.14495,1.40718,2.04108
1.58514,2.14495,1.60931,2.16914
1.66062,2.14495,1.81013,2.2989
1.7361,2.14495,2.00316,2.43961
1.81158,2.14495,2.18324,2.60196
1.88707,2.14495,2.34701,2.7995
1.96255,2.14495,2.49273,3.0504
2.03803,2.14495,2.61977,3.37963
2.11352,2.14495,2.72821,3.82152
2.189,2.14495,2.81867,4.42204
2.26448,2.14495,2.89223,5.24021
2.33996,2.14495,2.95056,6.34781
2.41545,2.14495,2.99578,7.82836
2.49093,2.14495,3.0303,9.77941
2.56641,2.14495,3.05649,12.3249
2.64189,2.14495,3.07647,15.6474
2.71738,2.14495,3.09195,20.0578
2.79286,2.14495,3.10424,26.151
2.86834,2.14495,3.1143,35.2077
2.94383,2.14495,3.12285,50.5065
3.01931,2.14495,3.13042,83.4805
3.09479,2.14495,3.1374,219.449
0,2.29816,nan,nan
0.0754827,2.29816,0.00680361,-131.457
0.150965,2.29816,0.0140025,-62.5395
0.226448,2.29816,0.0219952,-38.8187
0.301931,2.29816,0.0312894,-26.4403
0.377414,2.29816,0.0425721,-18.6546
0.452896,2.29816,0.0567994,-13.2338
0.528379,2.29816,0.075302,-9.24349
0.603862,2.29816,0.0998746,-6.23143
0.679344,2.29816,0.132785,-3.9502
0.754827,2.29816,0.176617,-2.24173
0.83031,2.29816,0.233897,-0.984989
0.905792,2.29816,0.30663,-0.076081
0.981275,2.29816,0.395947,0.57482
1.05676,2.29816,0.502038,1.04118
1.13224,2.29816,0.624322,1.37917
1.20772,2.29816,0.761672,1.62946
1.28321,2.29816,0.912544,1.82065
1.35869,2.29816,1.07499,1.97264
1.43417,2.29816,1.2466,2.09959
1.50965,2.29816,1.42445,2.21198
1.58514,2.29816,1.60519,2.31823
1.66062,2.29816,1.78525,2.4259
1.7361,2.29816,1.9611,2.54275
1.81158,2.29816,2.12955,2.67782
1.88707,2.29816,2.28785,2.84278
1.96255,2.29816,2.43379,3.05368
2.03803,2.29816,2.56558,3.33335
2.11352,2.29816,2.68182,3.71455
2.189,2.29816,2.78157,4.24349
2.26448,2.29816,2.86451,4.98283
2.33996,2.29816,2.93119,6.01253
2.41545,2.29816,2.98308,7.42793
2.49093,2.29816,3.02246,9.33845
2.56641,2.29816,3.0519,11.8755
2.64189,2.29816,3.07393,15.2225
2.71738,2.29816,3.09062,19.6858
2.79286,2.29816,3.1036,25.853
2.86834,2.29816,3.11403,34.9977
2.94383,2.29816,3.12276,50.3927
3.01931,2.29816,3.1304,83.4672
3.09479,2.29816,3.1374,219.538
0,2.45137,nan,nan
0.0754827,2.45137,0.00680777,-131.214
0.150965,2.45137,0.0140376,-62.2075
0.226448,2.45137,0.0221242,-38.4003
0.301931,2.45137,0.0316318,-25.9411
0.377414,2.45137,0.0433404,-18.0847
0.452896,2.45137,0.058358,-12.6098
0.528379,2.45137,0.078246,-8.58966
0.603862,2.45137,0.105111,-5.57769
0.679344,2.45137,0.141554,-3.32755
0.754827,2.45137,0.190364,-1.67502
0.83031,2.45137,0.253947,-0.48746
0.905792,2.45137,0.333738,0.35125
